Marital Status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification Group;Previous qualification (grade);Nationality Group;Mother's qualification Group;Father's qualification Group;Mother's occupation Group;Father's occupation Group;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 1st sem (Approved/Enrolled);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Curricular units 2nd sem (Approved/Enrolled);Unemployment rate;Inflation rate;GDP;Target
1;15;-1.7316968666316976;9254;1;-3.0781385481239893;-9.979339535238001;-0.4478770895114957;-2.8519141796797496;-5.808301513046543;-2.573935966112086;-2.9712093353673366;-8.811173866630794;1;0;0;0;1;0;-3.1085926621448308;0;-0.42361511068544533;-3.2399677443300408;-2.3985908068055526;-1.5174797214083948;-2.3509285152771446;-0.4943525490553087;0.21210100940515575;-0.4303917461617935;-3.8827037599115646;-2.5015808391526346;-1.4166966930254539;-2.050084891083258;-0.4688016815309918;0.4612021542359994;-4.012501189594263;-1.6857076813062235;0.16546577053587413;1
1;1;0.5429618062850633;9070;1;-3.0781385481239893;-10.202378886412244;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.3495296801241716;-1.6151687673165733;-8.898534036727735;1;0;0;0;1;0;-3.1085926621448308;0;-0.42361511068544533;-3.2399677443300408;-2.8002074394309986;-2.215237102542503;-3.0644493325567166;-0.4943525490553087;-8.243354352641777;-0.4303917461617935;-3.8827037599115646;-2.966333124074149;-2.143170048523941;-2.6219417161414573;-0.4688016815309918;-6.981246593168445;-4.447532520937188;-0.7997562391364795;0.35129095675349564;0
1;17;-1.1630321984025074;9773;1;-3.0781385481239893;-10.202378886412244;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.9617328231181286;-2.9712093353673366;-8.92419917144548;1;0;0;1;0;0;-3.0918083458072556;0;-0.42361511068544533;-3.2399677443300408;-2.264718595930404;-1.5174797214083948;-2.3800518138688087;-0.4943525490553087;0.21210100940515575;-0.4303917461617935;-3.8827037599115646;-2.191745982538292;-1.537775585608535;-2.1030862554834946;-0.4688016815309918;-0.7792059703314076;-4.643998283479154;-1.9462816348855598;-0.5993515748440206;1
2;39;-1.7316968666316976;8014;0;-3.0781385481239893;-10.33150693182891;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.3495296801241716;-1.6151687673165733;-8.81610946946113;0;0;0;1;0;0;-2.672200437367868;0;-0.42361511068544533;-3.2399677443300408;-2.1977824904928296;-1.6337726182640795;-2.435871469885075;-0.4943525490553087;-1.1971415509359995;-0.4303917461617935;-3.8827037599115646;-2.5015808391526346;-1.4166966930254539;-2.077980346096819;-0.4688016815309918;0.4612021542359994;-4.012501189594263;-1.6857076813062235;0.16546577053587413;1
2;39;-1.7316968666316976;9991;0;0.3865047994161424;-10.137227918042926;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.3495296801241716;-1.9541789093292639;-8.94789006503109;0;0;1;1;1;0;-2.5882788556799903;0;-0.42361511068544533;-3.472948849025565;-2.1308463850552553;-1.6337726182640795;-2.4601408851232995;-0.4943525490553087;0.21210100940515575;-0.4303917461617935;-4.2179477023575185;-1.649534983463192;-1.537775585608535;-2.1407451195635083;7.8759013716763;0.4612021542359994;-3.6897360082753203;-1.3730189370110195;-0.1690195646558445;1
1;1;-1.7316968666316976;9500;1;-3.0781385481239893;-10.084989754215275;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.65563125162115;-1.2761586253038824;-8.880765866538527;1;0;0;1;0;1;-3.1253769784824064;0;-0.42361511068544533;-3.0069866396345164;-2.1977824904928296;-1.4011868245527102;-2.386604556141123;-0.4943525490553087;0.21210100940515575;-0.4303917461617935;-3.212215875019657;-2.3466634108454634;-1.1745389078592914;-2.0217012658883546;-0.4688016815309918;0.4612021542359994;-3.787968889546303;-0.07014916911433756;-0.7832207064698774;1
1;18;-0.025702861944126947;9254;1;-3.0781385481239893;-10.21998725624179;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.3495296801241716;-1.6151687673165733;-8.956280589842661;1;0;0;0;1;0;-3.0582397131321044;0;-0.42361511068544533;-3.472948849025565;-2.465526912243127;-2.215237102542503;-3.0644493325567166;-0.4943525490553087;-8.243354352641777;-0.4303917461617935;-4.2179477023575185;-2.5790395533062207;-2.143170048523941;-2.6219417161414573;-0.4688016815309918;-6.981246593168445;-3.787968889546303;-0.07014916911433756;-0.7832207064698774;0
1;1;-0.5943675301733173;9238;1;-3.0781385481239893;-10.114337037264518;5.386005009793676;-2.8519141796797496;-3.701197167947771;-1.3495296801241716;-1.6151687673165733;-8.876323823991225;0;0;0;1;0;1;-3.0750240294696796;1;-0.42361511068544533;-3.2399677443300408;-2.264718595930404;-1.5174797214083948;-2.357299236859998;-0.4943525490553087;0.21210100940515575;-0.4303917461617935;-3.8827037599115646;-2.424122124999049;-1.4166966930254539;-2.030159566432227;-0.4688016815309918;0.4612021542359994;-3.6897360082753203;-1.3730189370110195;-0.1690195646558445;1
1;1;-1.7316968666316976;9238;1;-3.0781385481239893;-10.10846758065467;-0.4478770895114957;-2.8519141796797496;-1.5940928228489972;-2.2678343946151074;-1.9541789093292639;-8.907418121822339;1;0;1;0;0;0;-3.1253769784824064;0;-0.42361511068544533;-3.2399677443300408;-2.1977824904928296;-1.6337726182640795;-2.483439524200494;-0.4943525490553087;-1.1971415509359995;-0.4303917461617935;-3.8827037599115646;-1.8819111259239492;-1.9010122633577786;-2.0570587549412562;-0.4688016815309918;-4.50043034403363;-4.714164627244141;-0.7997562391364795;0.6975126194958008;0
1;1;-1.7316968666316976;9670;1;-3.0781385481239893;-10.102598124044821;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.9617328231181286;-1.9541789093292639;-8.869907540311788;1;0;0;1;0;0;-3.1253769784824064;0;-0.42361511068544533;-3.2399677443300408;-2.3985908068055526;-1.5174797214083948;-2.435871469885075;-0.4943525490553087;0.21210100940515575;-0.4303917461617935;-3.8827037599115646;-2.424122124999049;-1.537775585608535;-2.027768527323468;-0.4688016815309918;-0.7792059703314076;-4.012501189594263;-1.6857076813062235;0.16546577053587413;1
