variable,0,1,2,3,4,5,6,7,8,9
Age at enrollment,0.5709619063233431,0.006309722189586651,0.017422199508699512,0.0005844976019875389,0.013837414985182005,0.007319806958742687,0.002125670419927853,0.0018635558476312953,4.5080337572554906e-05,0.0006091217856828415
Curricular units 1st sem (evaluations),0.014796953156287913,0.0163319141478923,0.005929409095541746,0.0007098148008567332,0.009454600729024255,0.0022124032992486852,0.0010142317216080131,0.0008288481438880116,1.4463882393232145e-05,0.00039490221099224075
Curricular units 1st sem (without evaluations),0.0069990404393709795,0.0026632915408266325,0.0015786013106230679,3.3042707240942805e-05,0.0015356773915917413,7.450080897057084e-05,0.000666473283622701,0.0007354762857602735,7.330033236673272e-07,1.0969881503044471e-05
Curricular units 1st sem (Approved/Enrolled),0.219399416495739,0.0007860944221825253,0.00816896395677678,0.002928045898846327,0.010697503994265598,0.03803262362345824,0.04683723271518592,0.0018032063468704689,3.608860603431806e-06,0.00020992609240108413
Curricular units 2nd sem (evaluations),0.0009271779775024377,0.012070214979376081,0.004329751463335473,0.0032600279800384774,0.007568845362161255,0.0015896717633507391,0.0036554227868960455,0.0002982356912584078,2.9734020443186867e-05,0.0005704378521906529
Curricular units 2nd sem (without evaluations),0.012705217699924966,4.051457999009091e-05,0.0013582714153875415,3.1717242759533416e-06,6.778672682697609e-05,0.001016102608788194,0.0016833684806452105,0.00016200927248089913,4.0174331984391826e-05,0.0005022541698489765
Curricular units 2nd sem (Approved/Enrolled),0.22116474151216683,5.023673413864125e-05,0.013184205855241122,0.006104324668572888,0.010307583525819331,0.051665736987150365,0.05682241261385005,0.0017011674876349714,2.1179287676474153e-05,0.00031195028434811376
Unemployment rate,0.0006154757347582963,0.05842973664860071,0.04494020395405953,0.0015697526559507926,0.002593130030875998,0.0002923827644710972,0.00012135531533476552,0.0022017661594064242,7.08779769466888e-05,0.0014175650089305605
Inflation rate,0.0016911411315936307,0.006820546697571435,0.001637681073918567,0.00018155698314093225,0.00010466616341029215,0.0006527262264670769,0.0007390407127719771,1.0150832043942118e-05,0.00040888345737218095,6.170673972529164e-05
GDP,0.003202843972179982,0.00011615380399238083,0.0003037731838354194,3.892561136231005e-05,0.000600683950759577,0.002318607622982195,5.982434057029874e-06,8.32629695576811e-06,0.0016590557693380626,0.00033530865042527845
Admission grade,0.5598953321672342,0.5342027985882997,0.4363745829148849,0.6480537391316069,0.6495123265628454,0.5401580134425928,0.6387866948085957,0.8355871105465795,0.8273623571243023,0.8782980418601739
Application mode,0.6838488262772141,0.375689782343163,0.10380021777277942,0.5305884162617536,0.33771543374397794,0.2533254277963907,0.2206485778900355,0.05550331019296593,0.10121655805003955,0.03802296108277226
Application order,0.24312490209056517,0.047867261059659216,0.027207192285099362,0.01238023684414134,0.012435029418006604,0.014253956417232724,0.03872763517669788,0.01735283583582266,0.00797223995635363,0.014169066751720407
Course,0.46152348305133556,0.24706959088947775,0.11003655500415001,0.03994470728916092,0.052642937150693764,0.27363374997678025,0.1445530568787605,0.1208956778626408,0.06017907748788247,0.06993989255757051
Daytime/evening attendance,0.30678424201292265,0.03287234600005272,0.021707965266158587,2.2965793568836604e-05,0.0022064223767037246,0.15624793379333748,0.04419136756868445,0.014973125823248955,0.027013287813766145,0.0012584702359525752
Debtor,0.05887400351833077,0.00782283886208701,0.0019145925817415095,0.009812041903008368,0.021129067813135064,0.09529128408541734,0.06096360108145485,1.2104586481520983e-05,0.0010041924033515873,4.0658869663491695e-05
Displaced,0.2334001948596994,0.006372480780430735,0.02177659704952146,0.0024378686974261526,0.004343982498102882,0.00046375988682059006,0.013239439564699008,0.0005565791376752877,0.00029912197678136007,0.004761573353625043
Educational special needs,0.0033451026927721417,3.2518439898629734e-06,0.001608003444558687,0.0005758200028006406,0.0002468048867757579,0.0026568681391477412,0.0012403662512908446,0.00013121248161080887,0.0001310621695096013,0.00384708727645221
Father's occupation Group,0.11604089631719487,0.27578815733958983,0.4173685515427516,0.03650725368823908,0.07937399871682785,0.052804018596643645,0.04410967102318994,0.030546177667421372,0.04112840018780875,0.03602684225320547
Father's qualification Group,0.1387694835090395,0.3812286468994839,0.5117744254411867,0.029685479489116498,0.09515263963154952,0.00903227653357802,0.009367969545328108,0.021462668610907173,0.04599452470833154,0.008107855386472363
Gender,0.08451407902142785,0.0290439259300621,0.0019014100789392992,1.6461754072667051e-06,0.011733594728254875,0.028203245156760832,0.003687008905681236,0.013623126070791136,0.0030535447886641007,0.010180716424062103
Marital Status,0.28503535454668644,0.029689461219444668,0.035167446664231584,0.003740697535453487,0.026403752426101237,0.013160079678558699,0.04039446014732599,0.017362480772377786,0.004394035709898421,0.0034209354239867385
Mother's occupation Group,0.16279782250904323,0.37525210187459707,0.5526175133837693,0.044456656029946966,0.11759846180617944,0.05552372973286605,0.04278475122956945,0.047695708263369344,0.05212144443083182,0.026240539389351503
Mother's qualification Group,0.1442312200113274,0.409797189418357,0.5408131314706637,0.05075018349595693,0.12538276548985874,0.030023816271088907,0.026788710318043238,0.0379978556586401,0.0425716180341194,0.008363890040910484
Nationality Group,0.0008336335481038844,0.004252822270189412,7.99747624405625e-05,0.3919934605329059,0.09681121903898965,0.00921629492489657,0.011036350915751022,0.007101011493873203,0.01130519637648765,0.004893391137805202
Previous qualification (grade),0.5591278961598203,0.2726707277597282,0.13710641152720504,0.6899193852472315,0.552061331108248,0.37992853218808975,0.47472175200163147,0.7262246445317094,0.7101700681932742,0.7932400632535272
Previous qualification Group,0.2663309103928521,0.34186413232463864,0.059858154670570346,0.07819682854691817,0.25252328166617916,0.2781518802308902,0.12974056723079203,0.04148875257554994,0.008757117861095391,0.014078604807304674
Scholarship holder,0.1397987481792734,0.03551625557956806,0.057054942210598016,0.007967682443622632,3.4804559488524053e-05,0.0007229128152048624,0.018889429168492372,0.0033768296620854442,0.0005561646851896197,0.00019521838667805127
Target,0.25034644808121803,0.0006577435844657918,0.018567556360025286,0.006993158833107527,0.017610713117129022,0.06904164763276203,0.10485581719395433,0.004542415025215918,0.004625103886563053,0.00012859931429069494
Tuition fees up to date,0.13243752463540082,0.0016970300166178184,1.457357270025117e-05,0.014599906733906272,0.01261425802189658,0.07200606124098068,0.08899594653558607,1.1439233204433498e-05,0.003903289402773954,0.000428279365335176
